名称,地址,经度,纬度,距离(米),类型,营业时间,电话,网站,评分,人均消费,照片
星星充电汽车充电站(四子王旗德正弘加油充电站),乌兰花镇晟泰新村北京能源德正弘加油充电站,111.705880,41.543800,[],汽车服务;充电站;充电站,[],4008280768,[],3.8,[],http://store.is.autonavi.com/showpic/b6c6df004a22da364c5b71629cd31bbf; http://store.is.autonavi.com/showpic/5ac279ff9565c49a8689d6a3b5b5bff3; https://store.is.autonavi.com/showpic/b9a949aca8ac465ca1b742cf5e55ea9b
蒙马超级充电站(格根塔拉服务区快充电站),查干补力格苏木G209国道(K295+500)公里处,111.847660,41.794273,[],汽车服务;充电站;充电站,[],4008280768,[],3.1,[],https://store.is.autonavi.com/showpic/a6a518458ec7cd0eff0c4ad7cad74a08; https://store.is.autonavi.com/showpic/e557f7e8ed649c3d325d082094580f98; https://store.is.autonavi.com/showpic/20cbb2ae45d8bcb2c502d31afa2a2e90
蒙来电超级充电站(维也纳3好酒店),新华街69号(原旧政府大楼),111.701331,41.522776,[],汽车服务;充电站;充电站,新华街,4008987778,[],3.2,[],https://aos-comment.amap.com/B0KAJ6KR0T/comment/IMG_20250926_150431_tem_1758870290124_62549066.jpg; https://store.is.autonavi.com/showpic/444d54b39462be41874bad1ffefff140; https://store.is.autonavi.com/showpic/210ec7b190aa6302b4b5a65b5948816d
蒙马超级汽车充电站(四子王旗艾勒格庙服务区快充电站),江岸苏木G331巴江线(K6316 900)公里处,111.290219,43.143129,[],汽车服务;充电站;充电站,[],,[],3.1,[],https://aos-comment.amap.com/B0LACUKHU5/comment/content_media_external_file_1000068294_ss__1753153716299_97430048.jpg; http://store.is.autonavi.com/showpic/d6153a3f33c05727b938c8a28075ce43; https://aos-comment.amap.com/B0LACUKHU5/comment/175559026028_1755590275157_21857469.jpg
蒙电e充汽车充电站(蒙电文化路就业市场站),乌兰花镇文化路就业市场停车场,111.689450,41.526318,[],汽车服务;充电站;充电站,[],95598,[],2.9,[],https://aos-comment.amap.com/B0LURY1NSR/comment/content_media_external_file_22675_ss__1759991025464_22804299.jpg
蒙电e充汽车充电站(蒙电浩翔贵宾酒店站),乌兰花镇浩翔贵宾酒店停车场,111.707610,41.531310,[],汽车服务;充电站;充电站,和平路,95598,[],2.9,[],
蒙电e充汽车充电站(蒙电美食街站),乌兰花镇四子王旗美食街管理咨询有限公司,111.713036,41.545440,[],汽车服务;充电站;充电站,[],,[],2.9,[],
蒙马超级充电站(四子王旗国道331江岸服务区快充电站),江岸苏木331国道,110.756690,42.903873,[],汽车服务;充电站;充电站,[],4008280768,[],3.1,[],https://store.is.autonavi.com/showpic/417a349b34f5482192f8f7b00073552e; https://store.is.autonavi.com/showpic/06d44df9fae60d339f0d889ab7cf0674; https://store.is.autonavi.com/showpic/09d5d9da13f9e3f66b5bd49ee9b6996a
蒙电e充汽车充电站(蒙电四子王旗供电公司站),乌兰花镇文化路168号,111.679100,41.532610,[],汽车服务;充电站;充电站,[],,[],2.4,[],
蒙电e充汽车充电站(蒙电滨河公园站),乌兰花镇和平路,111.704450,41.516228,[],汽车服务;充电站;充电站,[],,[],2.4,[],
蒙电e充汽车充电站(蒙电电子商务中心站),乌兰花镇电子商务中心停车场,111.715970,41.533910,[],汽车服务;充电站;充电站,[],95598,[],1.0,[],
蒙电e充汽车充电站(蒙电乌兰花公园站),乌兰花镇乌兰花公园停车场汽车充电站,111.711340,41.521470,[],汽车服务;充电站;充电站,[],,[],2.4,[],
蒙电e充汽车充电站(蒙电四子王旗博物馆站),乌兰花镇四子王旗博物馆,111.700600,41.496580,[],汽车服务;充电站;充电站,[],,[],2.9,[],
蒙电e充汽车充电站(蒙电人民医院站),乌兰花镇四子王旗人民医院停车场,111.713974,41.536545,[],汽车服务;充电站;充电站,[],,[],2.9,[],
蒙电e充汽车充电站(蒙电晟泰新村小区站),乌兰花镇德广骨科医院晟泰新村,111.704420,41.541576,[],汽车服务;充电站;充电站,[],,[],0.0,[],
蒙电e充汽车充电站(蒙电泰和花园站),乌兰花镇泰和花园停车场,111.715710,41.542780,[],汽车服务;充电站;充电站,[],95598,[],2.9,[],
蒙电e充汽车充电站(蒙电乌镇味道饭店站),乌兰花镇乌镇味道饭店门前停车场,111.722510,41.538360,[],汽车服务;充电站;充电站,[],95598,[],2.9,[],
蒙电e充汽车充电站(蒙电民生小区站),乌兰花镇民生住宅小区(南门),111.731710,41.549190,[],汽车服务;充电站;充电站,[],,[],0.0,[],
云快充(互联接入汽车充电站新通四子王旗汽车),乌兰花镇西外环路国通物流园路东停车场内,111.665436,41.542380,[],汽车服务;充电站;充电站,[],18698466568,[],0.0,[],
汽车充电站蒙马,209国道,112.064322,42.024066,[],汽车服务;充电站;充电站,[],,[],3.1,[],https://store.is.autonavi.com/showpic/843565300088d52f621ebe6a89ab91a3; https://store.is.autonavi.com/showpic/57cf798264301dd0c8297b5759d0f69e
四子王供电分公司自营汽车充电站(四子王旗博物馆停车场充电站),四子王旗博物馆停车场,111.700542,41.496753,[],汽车服务;充电站;充电站,[],,[],[],[],http://store.is.autonavi.com/showpic/d2b8734ee00d53e24bf9644f2bacf54b; http://store.is.autonavi.com/showpic/4c28f6c838dcef3f1ea22c699758390c
四子王供电分公司自营充电桩(民生小区停车场),民生小区停车场,111.731879,41.550807,[],汽车服务;充电站;充电站,[],,[],[],[],http://store.is.autonavi.com/showpic/660f9aba110bfaa888e6504f7075de9e
汽车充电站(四子王供电分公司门口停车场站),四子王供电分公司门口西停车场,111.679659,41.532267,[],汽车服务;充电站;充电站,[],,[],[],[],https://aos-comment.amap.com/B0KUB7T344/comment/0364ed82fca8f1f3e7783010f5ca3e2b_2048_2048_80.jpg; https://aos-comment.amap.com/B0KUB7T344/comment/c9f1de4a5f97b1eaf93fb9bbcfba5bae_2048_2048_80.jpg
汽车充电站(四子王旗人民政府院内停车场站),四子王旗人民政府院内停车场,111.705866,41.533290,[],汽车服务;充电站;充电站,和平路,,[],[],[],
驴充充汽车充电站(王府假日酒店),德广医院东北侧约150米碧生源宴会城,111.710335,41.542880,[],汽车服务;充电站;充电站,[],15247851110,[],2.4,[],https://store.is.autonavi.com/showpic/965ff9997c56bb6c020c0a11a766f3f4; https://store.is.autonavi.com/showpic/6c20ab2d687fa90152eb7ae538202a85
乌兰花公园停车场汽车充电站,乌兰花公园停车场充电站,111.711294,41.521437,[],汽车服务;充电站;充电站,[],,[],[],[],http://store.is.autonavi.com/showpic/a902a80ae71c6a28a288613b96d34ed6; http://store.is.autonavi.com/showpic/d366e344d3666366481902e1223ed362; https://aos-comment.amap.com/B0KUB7ZE9Z/comment/%5B2024-11-20-15-04-37%5D94AD208D-9B9A-4C82-B499-7643757A9FA_1732086279340_83811196.jpg
汽车充电站(咔咔电姆充电站库伦图镇人民政府),库伦图镇人民政府院内,111.993631,41.613497,[],汽车服务;充电站;充电站,[],15247851110,[],[],[],http://store.is.autonavi.com/showpic/eb07f8279887f09a6203f59954b0417b; http://store.is.autonavi.com/showpic/ab6efc5f7d7e944dfa746912af986ed1
咔咔电姆充电站,和平路29-31号,111.715449,41.551094,[],汽车服务;充电站;充电站,[],,[],[],[],https://aos-comment.amap.com/B0J2YAJS1M/headerImg/475b54fbb1711e8c0ba8c8ca6497f699_2048_2048_80.jpg; https://store.is.autonavi.com/showpic/9d8249d1e89ed4ad85a0af7c6424eb70; https://aos-comment.amap.com/B0J2YAJS1M/headerImg/bfc0e064904f80703fc3810cf73ac70c_2048_2048_80.jpg
咔咔电姆汽车充电站(碧生源小区),和平路29-31号,111.712148,41.540312,[],商务住宅;住宅区;住宅小区,[],,[],[],[],https://aos-comment.amap.com/B0J3BDXEXF/headerImg/c4af8042a4a0cb24ec3da15666f2bcfe_2048_2048_80.jpg; http://store.is.autonavi.com/showpic/b582a4302268d4a2c92e48cb507ce079
汽车充电站(蒙马充电乌兰察布市209国道格根塔拉服务区站),209国道,111.845825,41.791586,[],汽车服务;充电站;充电站,[],,[],[],[],
咔咔电姆汽车充电站(政务中心站),四子王旗税务局办税服务厅南侧,111.717571,41.539731,[],汽车服务;充电站;充电站,[],15247851110,[],[],[],https://store.is.autonavi.com/showpic/1cde9469219320abb1ef71eb3b39ec6e; https://store.is.autonavi.com/showpic/74136a8612af734e08fee40e40c4ea07
蒙电e充充电站(蒙电民生小区站),四子王输变电管理处东北侧250米,111.731931,41.550875,[],汽车服务;充电站;充电站,[],,[],[],[],
汽车充电站(四子王旗人民政府院内停车场站),四子王旗人民政府院内停车场,111.705866,41.533290,488,汽车服务;充电站;充电站,和平路,,[],[],[],
蒙电e充汽车充电站(蒙电浩翔贵宾酒店站),乌兰花镇浩翔贵宾酒店停车场,111.707610,41.531310,671,汽车服务;充电站;充电站,和平路,95598,[],2.9,[],
蒙电e充汽车充电站(蒙电晟泰新村小区站),乌兰花镇德广骨科医院晟泰新村,111.704420,41.541576,992,汽车服务;充电站;充电站,[],,[],0.0,[],
蒙电e充汽车充电站(蒙电文化路就业市场站),乌兰花镇文化路就业市场停车场,111.689450,41.526318,1173,汽车服务;充电站;充电站,[],95598,[],2.9,[],https://aos-comment.amap.com/B0LURY1NSR/comment/content_media_external_file_22675_ss__1759991025464_22804299.jpg
蒙来电超级充电站(维也纳3好酒店),新华街69号(原旧政府大楼),111.701331,41.522776,1176,汽车服务;充电站;充电站,新华街,4008987778,[],3.2,[],https://aos-comment.amap.com/B0KAJ6KR0T/comment/IMG_20250926_150431_tem_1758870290124_62549066.jpg; https://store.is.autonavi.com/showpic/444d54b39462be41874bad1ffefff140; https://store.is.autonavi.com/showpic/210ec7b190aa6302b4b5a65b5948816d
蒙电e充汽车充电站(蒙电人民医院站),乌兰花镇四子王旗人民医院停车场,111.713974,41.536545,1219,汽车服务;充电站;充电站,[],,[],2.9,[],
星星充电汽车充电站(四子王旗德正弘加油充电站),乌兰花镇晟泰新村北京能源德正弘加油充电站,111.705880,41.543800,1267,汽车服务;充电站;充电站,[],4008280768,[],3.8,[],http://store.is.autonavi.com/showpic/b6c6df004a22da364c5b71629cd31bbf; http://store.is.autonavi.com/showpic/5ac279ff9565c49a8689d6a3b5b5bff3; https://store.is.autonavi.com/showpic/b9a949aca8ac465ca1b742cf5e55ea9b
咔咔电姆汽车充电站(碧生源小区),和平路29-31号,111.712148,41.540312,1278,商务住宅;住宅区;住宅小区,[],,[],[],[],https://aos-comment.amap.com/B0J3BDXEXF/headerImg/c4af8042a4a0cb24ec3da15666f2bcfe_2048_2048_80.jpg; http://store.is.autonavi.com/showpic/b582a4302268d4a2c92e48cb507ce079
蒙电e充汽车充电站(蒙电电子商务中心站),乌兰花镇电子商务中心停车场,111.715970,41.533910,1332,汽车服务;充电站;充电站,[],95598,[],1.0,[],
驴充充汽车充电站(王府假日酒店),德广医院东北侧约150米碧生源宴会城,111.710335,41.542880,1370,汽车服务;充电站;充电站,[],15247851110,[],2.4,[],https://store.is.autonavi.com/showpic/965ff9997c56bb6c020c0a11a766f3f4; https://store.is.autonavi.com/showpic/6c20ab2d687fa90152eb7ae538202a85
蒙电e充汽车充电站(蒙电乌兰花公园站),乌兰花镇乌兰花公园停车场汽车充电站,111.711340,41.521470,1620,汽车服务;充电站;充电站,[],,[],2.4,[],
乌兰花公园停车场汽车充电站,乌兰花公园停车场充电站,111.711294,41.521437,1621,汽车服务;充电站;充电站,[],,[],[],[],http://store.is.autonavi.com/showpic/a902a80ae71c6a28a288613b96d34ed6; http://store.is.autonavi.com/showpic/d366e344d3666366481902e1223ed362; https://aos-comment.amap.com/B0KUB7ZE9Z/comment/%5B2024-11-20-15-04-37%5D94AD208D-9B9A-4C82-B499-7643757A9FA_1732086279340_83811196.jpg
咔咔电姆汽车充电站(政务中心站),四子王旗税务局办税服务厅南侧,111.717571,41.539731,1629,汽车服务;充电站;充电站,[],15247851110,[],[],[],https://store.is.autonavi.com/showpic/1cde9469219320abb1ef71eb3b39ec6e; https://store.is.autonavi.com/showpic/74136a8612af734e08fee40e40c4ea07
蒙电e充汽车充电站(蒙电泰和花园站),乌兰花镇泰和花园停车场,111.715710,41.542780,1681,汽车服务;充电站;充电站,[],95598,[],2.9,[],
汽车充电站(四子王供电分公司门口停车场站),四子王供电分公司门口西停车场,111.679659,41.532267,1698,汽车服务;充电站;充电站,[],,[],[],[],https://aos-comment.amap.com/B0KUB7T344/comment/0364ed82fca8f1f3e7783010f5ca3e2b_2048_2048_80.jpg; https://aos-comment.amap.com/B0KUB7T344/comment/c9f1de4a5f97b1eaf93fb9bbcfba5bae_2048_2048_80.jpg
蒙电e充汽车充电站(蒙电美食街站),乌兰花镇四子王旗美食街管理咨询有限公司,111.713036,41.545440,1733,汽车服务;充电站;充电站,[],,[],2.9,[],
蒙电e充汽车充电站(蒙电四子王旗供电公司站),乌兰花镇文化路168号,111.679100,41.532610,1743,汽车服务;充电站;充电站,[],,[],2.4,[],
蒙电e充汽车充电站(蒙电滨河公园站),乌兰花镇和平路,111.704450,41.516228,1936,汽车服务;充电站;充电站,[],,[],2.4,[],
蒙电e充汽车充电站(蒙电乌镇味道饭店站),乌兰花镇乌镇味道饭店门前停车场,111.722510,41.538360,1958,汽车服务;充电站;充电站,[],95598,[],2.9,[],
咔咔电姆充电站,和平路29-31号,111.715449,41.551094,2362,汽车服务;充电站;充电站,[],,[],[],[],https://aos-comment.amap.com/B0J2YAJS1M/headerImg/475b54fbb1711e8c0ba8c8ca6497f699_2048_2048_80.jpg; https://store.is.autonavi.com/showpic/9d8249d1e89ed4ad85a0af7c6424eb70; https://aos-comment.amap.com/B0J2YAJS1M/headerImg/bfc0e064904f80703fc3810cf73ac70c_2048_2048_80.jpg
